SiteID,Farm Descriptor 1,Near vs far,Pollen deposition,Mean visits/10 min,Richness
DURN,Org,F,143.5912319,2.583333333,4
DURS,Org,F,48.34473511,1.416666667,3
FUL2,Org,N,2354.187513,33.66583333,11
FUL4N,Org,N,865.7300477,10.41666667,9
HER,Cnv,F,118.7352606,5.416666667,3
MCA1,Org,F,1241.520934,6.916166667,4
MEE8,Cnv,F,257.8439562,7.416666667,2
PAC,Org,F,1069.415862,17.58333333,5
RIC3,Cnv,F,62.80998574,1.75,3
RIV3,Org,N,1136.81812,12.75,7
RIV4,Org,N,1253.308113,27.33333333,4
TER1,Org,N,3175.386608,21.41666667,11
VIC,Cnv,F,498.4902506,8.583333333,5
YAS,Cnv,F,474.0518783,5.916666667,5
